filename,chunk_nr,label_nominal,label_numeric,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31
2.wav,0,,,0.56622,-0.7384395,0.56122553,0.78282046,0.23911248,-0.090778835,-0.60631174,0.7498255,-0.59521115,0.3790013,0.6414714,-0.24369298,-0.9549145,-0.3485135,0.83579814,0.88154155,-0.22289635,-0.35568315,-0.90635574,0.13833529,0.9251187,0.15738088,0.19315015,0.05976976,-0.34845012,-0.081621625,-0.065999046,0.90672135,-0.079888396,-0.6098603,0.14434949,-0.5824279
7.wav,0,,,0.56884056,-0.7396024,0.5642959,0.78305984,0.244546,-0.08573236,-0.60347277,0.74854785,-0.5948865,0.3789361,0.6450477,-0.24196397,-0.955077,-0.3518451,0.8349581,0.88231486,-0.22714832,-0.35259232,-0.906256,0.14043783,0.9246211,0.15806456,0.19550315,0.06268591,-0.34667498,-0.07798151,-0.06268818,0.9073021,-0.078780554,-0.6098625,0.14552559,-0.5832301
4.wav,0,,,0.5673382,-0.73960644,0.5598702,0.78249174,0.23987047,-0.09146915,-0.60692817,0.7506265,-0.59526,0.3800622,0.6434755,-0.24424179,-0.95473903,-0.3484082,0.83574545,0.88226044,-0.22266231,-0.35166335,-0.9062679,0.14264427,0.92458653,0.15227066,0.1946071,0.06084786,-0.3463106,-0.081948355,-0.064494886,0.9067607,-0.07994761,-0.6078864,0.1472733,-0.58322173
8.wav,0,,,0.5663484,-0.74067813,0.5613825,0.78276813,0.24108544,-0.09147545,-0.60386646,0.7472842,-0.5973829,0.37944847,0.64169145,-0.24591486,-0.9548549,-0.3488857,0.83537436,0.8811575,-0.22179133,-0.3527388,-0.90632474,0.14012058,0.92443043,0.15513538,0.19567464,0.06302232,-0.34405115,-0.07898698,-0.06398838,0.9070984,-0.082459554,-0.60887355,0.14668095,-0.58103365
1.wav,0,,,0.56801414,-0.74013317,0.56130326,0.781247,0.24302197,-0.09299655,-0.6031015,0.74873304,-0.5985058,0.38314468,0.641897,-0.24432372,-0.9553378,-0.34862697,0.8351448,0.8815692,-0.22018915,-0.35376686,-0.90685016,0.14057341,0.92520696,0.15490569,0.19417353,0.064769864,-0.34366295,-0.077618554,-0.06706272,0.9079514,-0.08102017,-0.61061764,0.14676443,-0.582424
5.wav,0,,,0.56571215,-0.7403544,0.5624104,0.7799187,0.24065496,-0.089265324,-0.6027073,0.7475595,-0.5956489,0.3830246,0.64084095,-0.24657889,-0.95532334,-0.34865522,0.8339156,0.8801126,-0.2210122,-0.3517322,-0.9062355,0.14125079,0.9250265,0.15683524,0.19409962,0.061071433,-0.34301832,-0.07832064,-0.06522874,0.9078148,-0.08171765,-0.6095392,0.1430599,-0.57917404
9.wav,0,,,0.5650786,-0.7388348,0.5606048,0.7780765,0.23628834,-0.09543771,-0.6034991,0.74901974,-0.59409255,0.37919557,0.6408506,-0.25221616,-0.9549612,-0.34669593,0.8344792,0.8795275,-0.21777359,-0.35409456,-0.9053297,0.14159685,0.9255396,0.15008198,0.1901859,0.060635235,-0.34077904,-0.08188583,-0.06642164,0.9070277,-0.083224155,-0.60965335,0.14459354,-0.575562
6.wav,0,,,0.564857,-0.7402861,0.56283903,0.7821192,0.23829268,-0.089621894,-0.6047304,0.7486054,-0.59562296,0.381428,0.64172655,-0.24539728,-0.9548485,-0.35001045,0.83592826,0.8812205,-0.22361791,-0.35260683,-0.90649307,0.14256275,0.92466843,0.15470354,0.1952387,0.06183874,-0.34570253,-0.08322274,-0.06381174,0.9070919,-0.079840735,-0.6090502,0.1470199,-0.5811635
3.wav,0,,,0.56578606,-0.73874325,0.56242704,0.7802384,0.23318131,-0.09203961,-0.6062565,0.75274485,-0.5904685,0.38012764,0.64129376,-0.24968116,-0.9544466,-0.34569305,0.8379104,0.8815081,-0.21941565,-0.35358655,-0.9055724,0.14454219,0.9253693,0.15496778,0.19241497,0.059742652,-0.34622207,-0.08780187,-0.06593036,0.9059901,-0.08185897,-0.6114254,0.14580016,-0.57901424
0.wav,0,,,0.56667864,-0.7401691,0.5614267,0.7808379,0.23934142,-0.092164166,-0.60503983,0.7491456,-0.59783983,0.38172734,0.6418846,-0.24675761,-0.9551125,-0.3478793,0.8347798,0.8808877,-0.22280328,-0.35309786,-0.90647054,0.14247476,0.9250515,0.1525319,0.19231124,0.06377876,-0.34514356,-0.08141514,-0.06598598,0.9076455,-0.08023248,-0.6090553,0.14796112,-0.5806867
